receptor,ligand,polarity,confidence,channel,GPCR,non_neuronal_expression
acc-1,acetylcholine,inhibitory,1.0,1,0,
acc-2,acetylcholine,inhibitory,1.0,1,0,
acc-3,acetylcholine,inhibitory,1.0,1,0,
acc-4,acetylcholine,inhibitory,1.0,1,0,
acr-1,acetylcholine,excitatory,1.0,1,0,"[""body_wall_muscle""]"
acr-2,acetylcholine,excitatory,1.0,1,0,
acr-3,acetylcholine,excitatory,1.0,1,0,
acr-4,acetylcholine,excitatory,1.0,1,0,"[""head_muscle""]"
acr-5,acetylcholine,excitatory,1.0,1,0,
acr-6,acetylcholine,excitatory,1.0,1,0,
acr-7,acetylcholine,excitatory,1.0,1,0,"[""pharyngeal_muscle""]"
acr-8,acetylcholine,excitatory,1.0,1,0,"[""body_wall_muscle"", ""anal_muscle"", ""vulval_muscle""]"
acr-9,acetylcholine,excitatory,1.0,1,1,
acr-10,acetylcholine,excitatory,1.0,1,0,
acr-11,acetylcholine,excitatory,1.0,1,0,
acr-12,acetylcholine,excitatory,1.0,1,0,
acr-13,acetylcholine,excitatory,1.0,1,0,"[""body_wall_muscle"", ""uterine_muscle"", ""anal_depressor_muscle""]"
acr-14,acetylcholine,excitatory,1.0,1,0,"[""body_wall_muscle"", ""intestine""]"
acr-15,acetylcholine,excitatory,1.0,1,0,"[""head_muscle"", ""body_wall_muscle""]"
acr-16,acetylcholine,excitatory,1.0,1,0,"[""anal_depressor_muscle"", ""head_muscle"", ""body_wall_muscle""]"
acr-17,acetylcholine,excitatory,1.0,1,0,
acr-18,acetylcholine,excitatory,1.0,1,0,
acr-19,acetylcholine,excitatory,1.0,1,0,
acr-20,acetylcholine,excitatory,1.0,1,0,
acr-21,acetylcholine,excitatory,1.0,1,0,
acr-22,acetylcholine,excitatory,1.0,1,0,
acr-23,acetylcholine,excitatory,1.0,1,0,
acr-24,acetylcholine,excitatory,1.0,1,0,
acr-25,acetylcholine,excitatory,1.0,1,0,
cup-4,acetylcholine,excitatory,0.5,1,0,"[""coelomocytes""]"
deg-3,acetylcholine,excitatory,1.0,1,0,"[""head_muscle""]"
eat-2,acetylcholine,excitatory,1.0,1,0,"[""pharyngeal_muscle""]"
gar-1,acetylcholine,inhibitory,1.0,0,1,
