label,connectome_type,dataset,n_nodes,n_edges,density,sparsity,mean_weight,max_weight,Q,n_communities,in_degree_cv,out_degree_cv,total_degree_cv,reciprocity,n_reciprocal_pairs,fraction_in_nontrivial_scc,clustering_coefficient,n_triangles
chemical_synapse_Cook2019,chemical_synapse,Cook2019,302,3671,0.04038414996369717,0.9596158500363028,5.679106510487606,75.0,0.5083387572969044,8,1.2994952766761731,0.878231692261919,0.9320089399960438,0.364478343775538,669,0.9701986754966887,0.20199208315901265,6853
chemical_synapse_Cook2019Male,chemical_synapse,Cook2019Male,385,3805,0.025737283549783548,0.9742627164502164,9.002628120893561,194.0,0.5915550515049142,18,1.2964284480593753,1.2665319020690682,1.08290887765972,0.3779237844940867,719,0.9116883116883117,0.220569725074528,6754
chemical_synapse_Cook2020,chemical_synapse,Cook2020,302,147,0.0016171261358385953,0.9983828738641614,3.772108843537415,32.5,0.18570577153399392,283,5.0332161450720205,5.4038592052590095,4.537504873352361,0.54421768707483,40,0.059602649006622516,0.4334828101644245,256
chemical_synapse_Varshney2011,chemical_synapse,Varshney2011,302,2194,0.02413588259884271,0.9758641174011573,2.2985414767547856,37.0,0.5326764483384594,32,1.3581482500595958,0.9989791835097604,0.9690174006278378,0.2123974475843209,233,0.7913907284768212,0.15112292730707338,2858
chemical_synapse_WhiteA,chemical_synapse,WhiteA,302,1414,0.015555213306637918,0.9844447866933621,2.644978783592645,21.0,0.45623709571334614,128,1.7335570518578551,1.3296922364082222,1.2467730086792672,0.20226308345120225,143,0.5132450331125827,0.13976113794954376,1467
chemical_synapse_WhiteL4,chemical_synapse,WhiteL4,302,1291,0.014202107764405624,0.9857978922355943,2.8675445391169636,20.0,0.4485186362387963,133,1.8087696952638797,1.3914171543772462,1.348183158624659,0.21843532145623548,141,0.5198675496688742,0.14315519178302039,1271
chemical_synapse_WhiteWhole,chemical_synapse,WhiteWhole,302,2266,0.024927944379661615,0.9750720556203384,2.872462488967343,37.0,0.536456618288147,11,1.4259491726682094,0.960181569743532,1.0200407254929953,0.2118270079435128,240,0.8410596026490066,0.15107293176016007,2912
chemical_synapse_WitvlietA_07,chemical_synapse,WitvlietA_07,302,1933,0.021264658643374183,0.9787353413566258,3.4014485256078633,30.0,0.437341768711417,128,1.6916297215424436,1.4205461687472678,1.3304165970277808,0.27315054319710297,264,0.5264900662251656,0.1636240462097982,3003
chemical_synapse_WitvlietA_08,chemical_synapse,WitvlietA_08,302,1933,0.021264658643374183,0.9787353413566258,3.6725297465080184,51.0,0.45235661598076404,128,1.7066476189468707,1.5121874654088459,1.3945509325763812,0.3103983445421624,300,0.5264900662251656,0.1736670293797606,2889
chemical_synapse_WitvlietL1_01,chemical_synapse,WitvlietL1_01,302,675,0.007425579195177224,0.9925744208048227,1.7066666666666668,9.0,0.4882081585165895,150,1.9128848496732802,1.5482451610464358,1.5096594226467732,0.17185185185185184,58,0.3576158940397351,0.14607679465776294,346
chemical_synapse_WitvlietL1_02,chemical_synapse,WitvlietL1_02,302,865,0.009515742227893776,0.9904842577721062,1.9502890173410405,11.0,0.4763006905556596,147,1.8489246817097695,1.5593758302785943,1.4879196888174775,0.19190751445086704,83,0.4205298013245033,0.13945792625275763,601
chemical_synapse_WitvlietL1_03,chemical_synapse,WitvlietL1_03,302,887,0.009757761105366218,0.9902422388946338,2.124013528748591,14.0,0.4735545390617605,148,1.881638637591615,1.6224096080497703,1.5436979885877575,0.22322435174746336,99,0.4205298013245033,0.15066964285714285,614
chemical_synapse_WitvlietL1_04,chemical_synapse,WitvlietL1_04,302,1011,0.011121867505665442,0.9888781324943345,2.493570722057369,17.0,0.4941169306740477,141,1.8485053870774224,1.6766658523232514,1.5573260515712795,0.20573689416419386,104,0.44039735099337746,0.15215792054928887,830
chemical_synapse_WitvlietL2_05,chemical_synapse,WitvlietL2_05,302,1324,0.014565136080614287,0.9854348639193857,2.7522658610271904,23.0,0.4628176959011762,136,1.7767277809023265,1.5727982973584993,1.4670098901710007,0.23867069486404835,158,0.5,0.15741839762611276,1406
chemical_synapse_WitvlietL3_06,chemical_synapse,WitvlietL3_06,302,1315,0.014466128358011926,0.985533871641988,2.9612167300380228,21.0,0.4618558993607961,134,1.810537031813732,1.5953038022740589,1.476857511445632,0.21140684410646388,139,0.48013245033112584,0.15092267135325133,1433
chemical_synapse_Yim2024,chemical_synapse,Yim2024,302,1955,0.021506677520846625,0.9784933224791533,1.2108432668902462,32.2428024605572,0.46356527950307763,134,1.8363438214568266,1.500473290016664,1.450131415366213,0.3345268542199488,327,0.5397350993377483,0.18455607298267043,2827
electrical_synapse_Cook2019,electrical_synapse,Cook2019,302,2185,0.024036874876240347,0.9759631251237596,5.298398169336385,401.0,0.681974202363467,14,2.4698947948151555,2.469989671919059,2.4699410934725985,0.9995423340961098,1092,0.9867549668874173,0.1790515766316304,734
electrical_synapse_Cook2019Male,electrical_synapse,Cook2019Male,385,1811,0.012249729437229438,0.9877502705627705,7.722252898950856,400.0,0.7003350466541286,65,2.645121912936004,2.6884193873884885,2.65787449383874,0.8746548868028713,792,0.7324675324675325,0.18792586535840827,807
electrical_synapse_Cook2020,electrical_synapse,Cook2020,302,56,0.0006160480517480363,0.9993839519482519,2.0357142857142856,9.0,0.5223145583256386,284,4.705843992565394,4.705843992565394,4.705843992565394,1.0,28,0.0728476821192053,0.0,0
electrical_synapse_Varshney2011,electrical_synapse,Varshney2011,302,1028,0.011308882092803238,0.9886911179071968,1.7256809338521402,23.0,0.6722557701180398,62,1.7152057774489304,1.7152057774489304,1.7152057774489304,1.0,514,0.8377483443708609,0.1283987915407855,170
electrical_synapse_WhiteA,electrical_synapse,WhiteA,302,524,0.005764449627070911,0.9942355503729291,1.2557251908396947,7.0,0.6642723182527878,164,1.5580761762554105,1.5580761762554105,1.5580761762554105,1.0,262,0.5,0.12073490813648294,46
