neuron,chemical_in_degree,chemical_out_degree,electrical_in_degree,electrical_out_degree
I1L,4,11,5,5
I1R,4,13,5,5
I2L,6,10,3,3
I2R,7,12,5,5
I3,7,13,4,4
I4,10,8,3,3
I5,11,14,3,3
I6,6,8,1,1
M1,7,11,2,2
M2L,7,5,4,4
M2R,3,5,7,7
M3L,11,1,2,2
M3R,12,1,2,2
M4,9,6,5,5
M5,2,2,3,3
MCL,6,0,1,1
MCR,3,0,4,4
MI,6,11,2,2
NSML,10,6,2,2
NSMR,10,5,5,5
ADFL,10,20,8,8
ADFR,17,22,9,9
ADLL,9,24,4,4
ADLR,17,26,3,3
ASEL,13,17,5,5
ASER,21,17,4,4
ASGL,7,4,6,6
ASGR,11,4,8,8
ASHL,10,20,7,7
ASHR,18,21,11,11
ASIL,5,17,3,3
ASIR,4,12,5,5
ASJL,7,7,6,6
ASJR,3,3,3,3
ASKL,9,5,7,7
ASKR,7,12,12,12
AWAL,4,8,4,4
AWAR,11,13,4,4
AWBL,9,16,5,5
AWBR,8,15,6,6
AWCL,12,14,3,3
AWCR,14,17,5,5
AFDL,10,7,7,7
AFDR,9,4,9,9
IL2DL,3,14,1,1
IL2DR,1,12,2,2
IL2L,9,12,9,9
IL2R,6,15,3,3
IL2VL,1,12,1,1
IL2VR,5,14,2,2
OLQDL,5,10,5,5
OLQDR,10,8,6,6
OLQVL,13,8,5,5
OLQVR,12,8,7,7
OLLL,11,16,3,3
OLLR,19,21,2,2
CEPDL,19,26,1,1
CEPDR,13,23,1,1
CEPVL,13,21,3,3
CEPVR,19,21,3,3
ALML,12,16,5,5
ALMR,4,8,4,4
AVM,3,20,4,4
PVM,5,9,9,9
PLML,0,7,10,10
PLMR,0,7,8,8
ALNL,4,8,3,3
ALNR,9,7,4,4
PLNL,4,3,3,3
PLNR,3,6,3,3
FLPL,7,16,7,7
FLPR,5,17,8,8
PVDL,7,12,10,10
PVDR,5,12,9,9
BAGL,10,19,5,5
BAGR,13,11,3,3
URXL,18,25,2,2
URXR,22,26,4,4
URYDL,8,11,2,2
URYDR,5,14,3,3
URYVL,3,20,2,2
URYVR,9,16,1,1
AQR,9,19,6,6
PQR,4,16,10,10
ADEL,8,36,7,7
ADER,11,25,7,7
PDEL,8,5,10,10
PDER,8,6,13,13
PHAL,2,11,6,6
PHAR,3,12,8,8
PHBL,5,11,8,8
PHBR,3,10,6,6
PHCL,3,10,5,5
PHCR,3,9,9,9
SDQL,6,20,4,4
SDQR,3,13,10,10
URBL,5,16,5,5
URBR,9,24,5,5
DVA,30,44,23,23
