receptor,receptor_subunit,ligand,ligand_isoform,confidence,channel,GPCR,muscarinic,nicotinic,metabotropic,neuronal_expression,non_neuronal_expression
acc-1,,acetylcholine,,1,1,0,0,0,0,,
acc-2,,acetylcholine,,1,1,0,0,0,0,,
acc-3,,acetylcholine,,1,1,0,0,0,0,,
acc-4,,acetylcholine,,1,1,0,0,0,0,,
acr-1,,acetylcholine,,1,1,0,0,1,0,,"[""body_wall_muscle""]"
acr-10,,acetylcholine,,1,1,0,0,1,0,,
acr-11,,acetylcholine,,1,1,0,0,1,0,,
acr-12,,acetylcholine,,1,1,0,0,1,0,,
acr-13,,acetylcholine,,1,1,0,0,1,0,"[""PVT"", ""ALA"", ""DD"", ""IL"", ""OL""]","[""body_wall_muscle"", ""uterine_muscle"", ""anal_depressor_muscle""]"
acr-14,,acetylcholine,,1,1,0,0,1,0,"[""AIY"", ""AS"", ""DA"", ""DB"", ""DD"", ""HSN"", ""VB"", ""VC4"", ""VC5""]","[""body_wall_muscle"", ""intestine""]"
acr-15,,acetylcholine,,1,1,0,0,1,0,"[""AVA"", ""AVB"", ""DVA"", ""I5"", ""RID"", ""RIM"", ""PVQ"", ""SAA"", ""SIA"", ""SIB"", ""SMB"", ""SMD""]","[""head_muscle"", ""body_wall_muscle""]"
acr-16,,acetylcholine,,1,1,0,0,1,0,"[""AVA"", ""RIB"", ""RID"", ""SIB"", ""SMD"", ""CEP"", ""ADE"", ""DB""]","[""anal_depressor_muscle"", ""head_muscle"", ""body_wall_muscle""]"
acr-17,,acetylcholine,,1,1,0,0,1,0,,
acr-18,,acetylcholine,,1,1,0,0,1,0,,
acr-19,,acetylcholine,,1,1,0,0,1,0,,
acr-2,,acetylcholine,,1,1,0,0,1,0,"[""DA"", ""DB"", ""IL1"", ""PVQ"", ""RMD"", ""VA"", ""VB""]",
acr-20,,acetylcholine,,1,1,0,0,1,0,,
acr-21,,acetylcholine,,1,1,0,0,1,0,,
acr-22,,acetylcholine,,1,1,0,0,1,0,,
acr-23,,acetylcholine,,1,1,0,0,1,0,,
acr-24,,acetylcholine,,1,1,0,0,1,0,,
acr-25,,acetylcholine,,1,1,0,0,1,0,,
acr-3,,acetylcholine,,1,1,0,0,1,0,,
acr-4,,acetylcholine,,1,1,0,0,1,0,"[""IL2"", ""ALM"", ""AVM"", ""PLM"", ""AVG"", ""PVD"", ""PVC"", ""FLP"", ""ALA""]","[""head_muscle""]"
acr-5,,acetylcholine,,1,1,0,0,1,0,"[""DB"", ""VB""]",
acr-6,,acetylcholine,,1,1,0,0,1,0,,
acr-7,,acetylcholine,,1,1,0,0,1,0,,"[""pharyngeal_muscle""]"
acr-8,,acetylcholine,,1,1,0,0,1,0,,"[""body_wall_muscle"", ""anal_muscle"", ""vulval_muscle""]"
acr-9,,acetylcholine,,2,2,1,1,2,1,,
cup-4,,acetylcholine,,0.5,1,0,0,1,0,,"[""coelomocytes""]"
deg-3,,acetylcholine,,1,1,0,0,1,0,"[""IL2"", ""ALM"", ""AVM"", ""PLM"", ""AVG"", ""PVD"", ""PVC"", ""FLP""]","[""head_muscle""]"
eat-2,,acetylcholine,,1,1,0,0,1,0,"[""MC""]","[""pharyngeal_muscle""]"
gar-1,"[""GAR-1A"", ""GAR-1B"", ""GAR-1C""]",acetylcholine,,1,0,1,1,0,0,"[""PVM""]",
gar-2,,acetylcholine,,1,0,1,1,0,0,"[""AIY"", ""HSN""]",
gar-3,,acetylcholine,,1,0,1,1,0,0,"[""I3"", ""VD"", ""DD"", ""SPC"", ""PCB"", ""PCA""]","[""pharyngeal_muscle"", ""anal_depressor_muscle"", ""body_wall_muscle"", ""spicule_protractor_muscle""]"
unc-29,,acetylcholine,,1,1,0,0,1,0,,"[""body_wall_muscle""]"
unc-38,,acetylcholine,,1,1,0,0,1,0,,"[""body_wall_muscle"", ""vulval_muscle"", ""sex_muscle"", ""protractor_muscle""]"
unc-63,,acetylcholine,,1,1,0,0,1,0,"[""AS"", ""DA"", ""DB"", ""VB"", ""VD"", ""VC""]","[""body_wall_muscle"", ""vulval_muscle""]"
lgc-31,,acetylcholine,,0.5,1,0,0,1,0,,
lgc-46,,acetylcholine,,0,1,0,0,0,0,,
lgc-47,,acetylcholine,,0,1,0,0,0,0,,
lgc-48,,acetylcholine,,0,1,0,0,0,0,,
lgc-49,,acetylcholine,,0,1,0,0,0,0,,
daf-2,,daf-28,,1,0,0,0,0,0,,"[""intestine"", ""gonad""]"
dop-1,"[""DOP-1A"", ""DOP-1B"", ""DOP-1C""]",dopamine,,1,0,1,0,0,0,"[""ALM"", ""ALN"", ""AUA"", ""AVM"", ""PHC"", ""PLM"", ""PLN"", ""PVQ"", ""PVD"", ""RIB"", ""RIM"", ""RIS""]","[""excretory_gland"", ""head_muscle""]"
dop-2,,dopamine,,1,0,1,0,0,0,"[""ADE"", ""CEP"", ""PDA"", ""PDE"", ""RIA"", ""RID"", ""SIA"", ""SIB""]",
dop-3,,dopamine,,1,0,1,0,0,0,"[""ASE"", ""PVD"", ""RIC"", ""SIA""]","[""body_wall_muscle""]"
dop-4,,dopamine,,1,0,1,0,0,0,"[""ASG"", ""AVL"", ""CAN"", ""I1"", ""I2"", ""PQR"", ""ASH""]","[""vulval_cells"", ""intestine"", ""rectal_gland"", ""rectal_epithelium""]"
dop-5,,dopamine,,0.5,0,1,0,0,0,"[""ASE""]",
dop-6,,dopamine,,1,0,1,0,0,0,,
ckr-2,"[""CKR-2A""]",flp-1,,1,0,1,0,0,0,"[""AIY""]",
npr-11,,flp-1,"[""FLP-1-6""]",1,0,1,0,0,0,"[""AIA"", ""AIY"", ""AWC""]",
npr-22,"[""NPR-22A""]",flp-1,"[""FLP-1-6""]",1,0,1,0,0,0,,
npr-4,,flp-1,"[""FLP-1-6""]",1,0,1,0,0,0,"[""AVA"", ""RIV"", ""PQR"", ""BDU"", ""BAG""]","[""coelomocytes"", ""intestine"", ""rectal_gland""]"
npr-5,"[""NPR-5A"", ""NPR-5B""]",flp-1,"[""FLP-1-2""]",1,0,1,0,0,0,"[""ADF"", ""ASE"", ""ASG"", ""ASI"", ""ASJ"", ""ASK"", ""AWA"", ""AWB"", ""IL2"", ""AIA"", ""LUA"", ""PHA"", ""PHB""]","[""head_muscle"", ""neck_muscle"", ""body_muscle""]"
egl-6,"[""EGL-6A"", ""EGL-6B""]",flp-10,,1,0,1,0,0,0,"[""HSN""]","[""head_glia""]"
frpr-3,,flp-11,"[""FLP-11-1""]",1,0,1,0,0,0,,
npr-22,"[""NPR-22A""]",flp-11,"[""FLP-11-1"", ""FLP-11-2"", ""FLP-11-3""]",1,0,1,0,0,0,,
npr-22,"[""NPR-22A""]",flp-13,"[""FLP-13-4""]",1,0,1,0,0,0,,
npr-11,,flp-14,,1,0,1,0,0,0,"[""AIA"", ""AIY"", ""AWC""]",
npr-3,,flp-15,"[""FLP-15-1"", ""FLP-15-2""]",1,0,1,0,0,0,,
egl-6,"[""EGL-6A"", ""EGL-6B""]",flp-17,"[""FLP-17-1"", ""FLP-17-2""]",1,0,1,0,0,0,"[""HSN""]","[""head_glia""]"
npr-1,,flp-18,,1,0,1,0,0,0,"[""AQR"", ""PQR"", ""URX"", ""ASE"", ""ASG"", ""ASH"", ""IL2L"", ""IL2R"", ""OLQ"", ""AUA"", ""SAAD"", ""RMG"", ""SMBD"", ""M3""]",
npr-10,"[""NPR-10A"", ""NPR-10B""]",flp-18,"[""FLP-18-1"", ""FLP-18-3"", ""FLP-18-4"", ""FLP-18-5"", ""FLP-18-6""]",1,0,1,0,0,0,,
npr-11,,flp-18,"[""FLP-18-3""]",1,0,1,0,0,0,"[""AIA"", ""AIY"", ""AWC""]",
npr-4,,flp-18,"[""FLP-18-1"", ""FLP-18-2"", ""FLP-18-3"", ""FLP-18-4"", ""FLP-18-5"", ""FLP-18-6""]",1,0,1,0,0,0,"[""AVA"", ""RIV"", ""PQR"", ""BDU"", ""BAG""]","[""coelomocytes"", ""intestine"", ""rectal_gland""]"
npr-5,"[""NPR-5A"", ""NPR-5B""]",flp-18,"[""FLP-18-1"", ""FLP-18-2"", ""FLP-18-3"", ""FLP-18-4"", ""FLP-18-5"", ""FLP-18-6""]",1,0,1,0,0,0,"[""ADF"", ""ASE"", ""ASG"", ""ASI"", ""ASJ"", ""ASK"", ""AWA"", ""AWB"", ""IL2"", ""AIA"", ""LUA"", ""PHA"", ""PHB""]","[""head_muscle"", ""neck_muscle"", ""body_muscle""]"
npr-6,,flp-18,"[""FLP-18-3"", ""FLP-18-6""]",1,0,1,0,0,0,,
frpr-18,"[""FRPR-18A"", ""FRPR-18B""]",flp-2,"[""FLP-2-1"", ""FLP-2-2""]",1,0,1,0,0,0,,
npr-1,,flp-21,,1,0,1,0,0,0,"[""AQR"", ""PQR"", ""URX"", ""ASE"", ""ASG"", ""ASH"", ""IL2L"", ""IL2R"", ""OLQ"", ""AUA"", ""SAAD"", ""RMG"", ""SMBD"", ""M3""]",
npr-11,,flp-21,,1,0,1,0,0,0,"[""AIA"", ""AIY"", ""AWC""]",
npr-5,"[""NPR-5A"", ""NPR-5B""]",flp-21,,1,0,1,0,0,0,"[""ADF"", ""ASE"", ""ASG"", ""ASI"", ""ASJ"", ""ASK"", ""AWA"", ""AWB"", ""IL2"", ""AIA"", ""LUA"", ""PHA"", ""PHB""]","[""head_muscle"", ""neck_muscle"", ""body_muscle""]"
npr-6,,flp-21,,1,0,1,0,0,0,,
npr-22,"[""NPR-22A""]",flp-22,,1,0,1,0,0,0,,
npr-10,"[""NPR-10A"", ""NPR-10B""]",flp-3,"[""FLP-3-1"", ""FLP-3-3"", ""FLP-3-5"", ""FLP-3-6"", ""FLP-3-7"", ""FLP-3-8""]",1,0,1,0,0,0,,
npr-5,"[""NPR-5A"", ""NPR-5B""]",flp-3,"[""FLP-3-1"", ""FLP-3-3"", ""FLP-3-6"", ""FLP-3-8""]",1,0,1,0,0,0,"[""ADF"", ""ASE"", ""ASG"", ""ASI"", ""ASJ"", ""ASK"", ""AWA"", ""AWB"", ""IL2"", ""AIA"", ""LUA"", ""PHA"", ""PHB""]","[""head_muscle"", ""neck_muscle"", ""body_muscle""]"
npr-4,,flp-4,"[""FLP-4-2""]",1,0,1,0,0,0,"[""AVA"", ""RIV"", ""PQR"", ""BDU"", ""BAG""]","[""coelomocytes"", ""intestine"", ""rectal_gland""]"
npr-5,,flp-4,"[""FLP-4-2""]",1,0,1,0,0,0,"[""ADF"", ""ASE"", ""ASG"", ""ASI"", ""ASJ"", ""ASK"", ""AWA"", ""AWB"", ""IL2"", ""AIA"", ""LUA"", ""PHA"", ""PHB""]","[""head_muscle"", ""neck_muscle"", ""body_muscle""]"
npr-11,,flp-5,"[""FLP-5-2""]",1,0,1,0,0,0,"[""AIA"", ""AIY"", ""AWC""]",
frpr-3,,flp-7,"[""FLP-7-1"", ""FLP-7-2"", ""FLP-7-3"", ""FLP-7-4""]",1,0,1,0,0,0,,
npr-22,"[""NPR-22A""]",flp-7,"[""FLP-7-1"", ""FLP-7-2"", ""FLP-7-3"", ""FLP-7-4""]",1,0,1,0,0,0,,
npr-22,"[""NPR-22A""]",flp-9,,1,0,1,0,0,0,,
