receptor,polarity,sources
acc-1,inhibitory,"[Putrenko et al., 2005]"
acc-2,inhibitory,"[Putrenko et al., 2005]"
acc-3,inhibitory,"[Putrenko et al., 2005]"
acc-4,inhibitory,"[Putrenko et al., 2005]"
acr-1,excitatory,"[Hobert, 2013]"
acr-2,excitatory,"[Jospin et al., 2009]"
acr-3,excitatory,"[Jospin et al., 2009]"
acr-4,excitatory,"[Hobert, 2013]"
acr-5,excitatory,"[Mongan et al., 1998]"
acr-6,excitatory,"[Hobert, 2013]"
acr-7,excitatory,"[Mongan et al., 1998]"
acr-8,excitatory,"[Mongan et al., 1998]"
acr-9,excitatory,"[Mongan et al., 1998]"
acr-10,excitatory,"[Mongan et al., 1998]"
acr-11,excitatory,"[Mongan et al., 1998]"
acr-12,excitatory,"[Gottschalk et al., 2005]"
acr-13,excitatory,"[Mongan et al., 1998]"
acr-14,excitatory,"[Mongan et al., 1998]"
acr-15,excitatory,"[Mongan et al., 1998]"
acr-16,excitatory,
acr-17,excitatory,"[Mongan et al., 2002]"
acr-18,excitatory,"[Mongan et al., 2002]"
acr-19,excitatory,"[Mongan et al., 2002]"
acr-20,excitatory,"[Mongan et al., 2002]"
acr-21,excitatory,"[Mongan et al., 2002]"
acr-22,excitatory,"[Mongan et al., 1998]"
acr-23,excitatory,"[Mongan et al., 2002]"
acr-24,excitatory,"[Mongan et al., 1998]"
acr-25,excitatory,"[Mongan et al., 1998]"
cup-4,excitatory,
deg-3,excitatory,
eat-2,excitatory,"[McKay et al., 2004]"
gar-1,inhibitory,"[Chase and Koelle, 2007]"
gar-2,inhibitory,"[Chase and Koelle, 2007]"
gar-3,variable,"[Uniprot: https://www.uniprot.org/uniprotkb/Q9U7D5/entry]"
lgc-31,excitatory,"[Hobert, 2013]"
lgc-46,inhibitory,
lgc-47,inhibitory,"[Putrenko et al., 2005]"
lgc-48,inhibitory,"[Putrenko et al., 2005]"
lgc-49,inhibitory,"[Putrenko et al., 2005]"
unc-29,excitatory,"[Fleming et al., 1997]"
unc-38,excitatory,"[Fleming et al., 1997]"
unc-63,excitatory,"[Fleming et al., 1997]"
dop-1,excitatory,"[Chase and Koelle, 2007]"
dop-2,inhibitory,"[Chase and Koelle, 2007]"
dop-3,inhibitory,"[Chase and Koelle, 2007]"
dop-4,excitatory,"[Chase and Koelle, 2007]"
dop-5,unknown,
dop-6,unknown,
exp-1,excitatory,"[Beg et al., 2003]"
gab-1,inhibitory,"[Putrenko et al., 2005]"
gbb-1,inhibitory,"[Chase and Koelle, 2007]"
gbb-2,inhibitory,"[Chase and Koelle, 2007]"
ggr-1,inhibitory,"[Putrenko et al., 2005]"
ggr-2,inhibitory,"[Putrenko et al., 2005]"
ggr-3,inhibitory,"[Putrenko et al., 2005]"
lgc-35,excitatory,"[Jobson et al., 2015]"
lgc-36,unknown,"[Hobert, 2013]"
lgc-37,unknown,"[Hobert, 2013]"
lgc-38,unknown,"[Hobert, 2013]"
lgc-39,inhibitory,
lgc-40,inhibitory,
lgc-41,unknown,"[Hobert, 2013]"
lgc-42,unknown,"[Hobert, 2013]"
lgc-51,inhibitory,
lgc-52,inhibitory,
lgc-53,inhibitory,
lgc-54,inhibitory,
unc-49,inhibitory,"[Hobert, 2013]"
avr-14,inhibitory,"[Putrenko et al., 2005]"
avr-15,inhibitory,"[Putrenko et al., 2005]"
glc-1,inhibitory,"[Putrenko et al., 2005]"
glc-2,inhibitory,"[Putrenko et al., 2005]"
glc-3,inhibitory,"[Putrenko et al., 2005]"
glc-4,inhibitory,"[Putrenko et al., 2005]"
glr-1,excitatory,"[Hobert, 2013]"
glr-2,excitatory,"[Hobert, 2013]"
glr-3,excitatory,"[Gong et al., 2019]"
glr-4,excitatory,"[Hobert, 2013]"
glr-5,excitatory,"[Hobert, 2013]"
glr-6,excitatory,"[Hobert, 2013]"
glr-7,excitatory,"[Hobert, 2013]"
glr-8,excitatory,"[Hobert, 2013]"
mgl-1,inhibitory,"[Chase and Koelle, 2007]"
mgl-2,excitatory,"[Uniprot: https://www.uniprot.org/uniprotkb/G5EG10/entry]"
mgl-3,inhibitory,"[Chase and Koelle, 2007]"
nmr-1,excitatory,"[Hobert, 2013]"
nmr-2,excitatory,"[Hobert, 2013]"
stg-1,unknown,"[Hobert, 2013]"
stg-2,unknown,"[Hobert, 2013]"
lgc-34,inhibitory,"[Putrenko et al., 2005]"
octr-1,inhibitory,"[Chase and Koelle, 2007]"
ser-3,excitatory,"[Chase and Koelle, 2007]"
ser-6,excitatory,"[Chase and Koelle, 2007]"
tyra-3,inhibitory,"[Chase and Koelle, 2007]"
lgc-50,excitatory,"[Morud et al., 2021]"
mod-1,inhibitory,"[Morud et al., 2021]"
ser-1,excitatory,"[Chase and Koelle, 2007]"
ser-4,inhibitory,"[Chase and Koelle, 2007]"
ser-5,excitatory,"[Chase and Koelle, 2007]"
ser-7,excitatory,"[Chase and Koelle, 2007]"
lgc-55,inhibitory,"[Pirri et al., 2009]"
ser-2,inhibitory,"[Chase and Koelle, 2007]"
tyra-2,inhibitory,"[Chase and Koelle, 2007]"
