receptor,polarity,mechanism,sources
acc-1,inhibitory,"Anion-selective (Cl-) channel","[Putrenko et al., 2005]"
acc-2,inhibitory,"Anion-selective (Cl-) channel","[Putrenko et al., 2005]"
acc-3,inhibitory,"Anion-selective (Cl-) channel","[Putrenko et al., 2005]"
acc-4,inhibitory,"Anion-selective (Cl-) channel","[Putrenko et al., 2005]"
acr-1,excitatory,"Cation-selective (Na+, K+) channel","[Hobert, 2013]"
acr-2,excitatory,"Cation-selective (Na+, K+) channel","[Jospin et al., 2009]"
acr-3,excitatory,"Cation-selective (Na+, K+) channel","[Jospin et al., 2009]"
acr-4,excitatory,"Cation-selective (Na+, K+) channel","[Hobert, 2013]"
acr-5,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 1998]"
acr-6,excitatory,"Cation-selective (Na+, K+) channel","[Hobert, 2013]"
acr-7,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 1998]"
acr-8,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 1998]"
acr-9,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 1998]"
acr-10,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 1998]"
acr-11,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 1998]"
acr-12,excitatory,"Cation-selective (Na+, K+) channel","[Gottschalk et al., 2005]"
acr-13,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 1998]"
acr-14,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 1998]"
acr-15,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 1998]"
acr-16,excitatory,"Cation-selective (Na+, K+) channel",
acr-17,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 2002]"
acr-18,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 2002]"
acr-19,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 2002]"
acr-20,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 2002]"
acr-21,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 2002]"
acr-22,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 1998]"
acr-23,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 2002]"
acr-24,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 1998]"
acr-25,excitatory,"Cation-selective (Na+, K+) channel","[Mongan et al., 1998]"
cup-4,excitatory,"Cation-selective (Na+, K+) channel",
deg-3,excitatory,"Cation-selective (Na+, K+) channel",
eat-2,excitatory,"Cation-selective (Na+, K+) channel","[McKay et al., 2004]"
gar-1,inhibitory,"Metabotropic; Gα_o/i coupling","[Chase and Koelle, 2007]"
gar-2,inhibitory,"Metabotropic; Gα_o/i coupling","[Chase and Koelle, 2007]"
gar-3,variable,"Metabotropic; Gα_q coupling and Gα_i coupling","[Uniprot: https://www.uniprot.org/uniprotkb/Q9U7D5/entry]"
lgc-31,excitatory,"Cation-selective (Na+, K+) channel","[Hobert, 2013]"
lgc-46,inhibitory,"Anion-selective (Cl-) channel",
lgc-47,inhibitory,"Anion-selective (Cl-) channel","[Putrenko et al., 2005]"
lgc-48,inhibitory,"Anion-selective (Cl-) channel","[Putrenko et al., 2005]"
lgc-49,inhibitory,"Anion-selective (Cl-) channel","[Putrenko et al., 2005]"
unc-29,excitatory,"Cation-selective (Na+, K+) channel","[Fleming et al., 1997]"
unc-38,excitatory,"Cation-selective (Na+, K+) channel","[Fleming et al., 1997]"
unc-63,excitatory,"Cation-selective (Na+, K+) channel","[Fleming et al., 1997]"
