receptor,polarity,mechanism,sources
avr-14,inhibitory,"Anion-selective (Cl-) channel","[Putrenko et al., 2005]"
avr-15,inhibitory,"Anion-selective (Cl-) channel","[Putrenko et al., 2005]"
glc-1,inhibitory,"Anion-selective (Cl-) channel","[Putrenko et al., 2005]"
glc-2,inhibitory,"Anion-selective (Cl-) channel","[Putrenko et al., 2005]"
glc-3,inhibitory,"Anion-selective (Cl-) channel","[Putrenko et al., 2005]"
glc-4,inhibitory,"Anion-selective (Cl-) channel","[Putrenko et al., 2005]"
glr-1,excitatory,"Cation-selective (Na+, K+) channel","[Hobert, 2013]"
glr-2,excitatory,"Cation-selective (Na+, K+) channel","[Hobert, 2013]"
glr-3,excitatory,"Cation-selective / GPCR cold sensing","[Gong et al., 2019]"
glr-4,excitatory,"Cation-selective (Na+, K+) channel","[Hobert, 2013]"
glr-5,excitatory,"Cation-selective (Na+, K+) channel","[Hobert, 2013]"
glr-6,excitatory,"Cation-selective (Na+, K+) channel","[Hobert, 2013]"
glr-7,excitatory,"Cation-selective (Na+, K+) channel","[Hobert, 2013]"
glr-8,excitatory,"Cation-selective (Na+, K+) channel","[Hobert, 2013]"
mgl-1,inhibitory,"Metabotropic; Gα_o/i coupling","[Chase and Koelle, 2007]"
mgl-2,excitatory,"Metabotropic; Gα_q coupling","[Uniprot: https://www.uniprot.org/uniprotkb/G5EG10/entry]"
mgl-3,inhibitory,"Metabotropic; Gα_o/i coupling","[Chase and Koelle, 2007]"
nmr-1,excitatory,"Cation-selective (Na+, K+) channel","[Hobert, 2013]"
nmr-2,excitatory,"Cation-selective (Na+, K+) channel","[Hobert, 2013]"
stg-1,unknown,"orphan iGluR homolog","[Hobert, 2013]"
stg-2,unknown,"orphan iGluR homolog","[Hobert, 2013]"
