ADAL,,,,,,,,,,,,,
ADAR,,,,,,,,,,,,,
ADEL,exp-1,acr-16,,,,,,,,,,,
ADER,exp-1,acr-16,,,,,,,,,,,
ADFL,,,,,,,,,,,,,
ADFR,,,,,,,,,,,,,
ADLL,,,,,,,,,,,,,
ADLR,,,,,,,,,,,,,
AFDL,,,,,,,,,,,,,
AFDR,,,,,,,,,,,,,
AIAL,glr-2,glc-3,,,,,,,,,,,
AIAR,glr-2,glc-3,,,,,,,,,,,
AIBL,ggr-1,glr-1,glr-2,glr-5,lgc-38,acc-1,lgc-47,gar-2,,,,,
AIBR,ggr-1,glr-1,glr-2,glr-5,acc-1,lgc-47,gar-2,,,,,,
AIML,lgc-38,,,,,,,,,,,,
AIMR,lgc-38,,,,,,,,,,,,
AINL,lgc-38,,,,,,,,,,,,
AINR,lgc-38,,,,,,,,,,,,
AIYL,acr-14,des-2,gar-2,glc-3,lgc-35,lgc-38,,,,,,,
AIYR,acr-14,des-2,gar-2,glc-3,lgc-35,lgc-38,,,,,,,
AIZL,acc-2,lgc-38,gab-1,lgc-37,,,,,,,,,
AIZR,acc-2,lgc-38,gab-1,lgc-37,,,,,,,,,
ALA,deg-3,des-2,lev-8,,,,,,,,,,
ALML,glr-8,avr-14,acr-23,deg-3,gab-1,lgc-37,des-2,,,,,,
ALMR,glr-8,avr-14,acr-23,deg-3,gab-1,lgc-37,des-2,,,,,,
ALNL,,,,,,,,,,,,,
ALNR,,,,,,,,,,,,,
AQR,,,,,,,,,,,,,
AS01,acr-14,acr-15,unc-63,gab-1,lgc-37,,,,,,,,
AS02,acr-14,acr-15,unc-63,gab-1,lgc-37,,,,,,,,
AS03,acr-14,acr-15,unc-63,gab-1,lgc-37,,,,,,,,
AS04,acr-14,acr-15,unc-63,gab-1,lgc-37,,,,,,,,
AS05,acr-14,acr-15,unc-63,gab-1,lgc-37,,,,,,,,
AS06,acr-14,acr-15,unc-63,gab-1,lgc-37,,,,,,,,
AS07,acr-14,acr-15,unc-63,gab-1,lgc-37,,,,,,,,
AS08,acr-14,acr-15,unc-63,gab-1,lgc-37,,,,,,,,
AS09,acr-14,acr-15,unc-63,gab-1,lgc-37,,,,,,,,
AS10,acr-14,acr-15,unc-63,gab-1,lgc-37,,,,,,,,
AS11,acr-14,acr-15,unc-63,gab-1,lgc-37,,,,,,,,
ASEL,,,,,,,,,,,,,
ASER,,,,,,,,,,,,,
ASGL,,,,,,,,,,,,,
ASGR,,,,,,,,,,,,,
ASHL,lgc-38,,,,,,,,,,,,
ASHR,lgc-38,,,,,,,,,,,,
ASIL,,,,,,,,,,,,,
ASIR,,,,,,,,,,,,,
ASJL,,,,,,,,,,,,,
ASJR,,,,,,,,,,,,,
ASKL,,,,,,,,,,,,,
ASKR,,,,,,,,,,,,,
AUAL,glr-4,,,,,,,,,,,,
AUAR,glr-4,,,,,,,,,,,,
AVAL,nmr-1,acc-1,acr-15,acr-16,acr-18,ggr-2,glr-1,glr-2,glr-4,glr-5,nmr-2,unc-29,ggr-3
AVAR,nmr-1,acc-1,acr-15,acr-16,acr-18,ggr-2,glr-1,glr-2,glr-4,glr-5,nmr-2,unc-29,ggr-3
AVBL,acr-15,glr-5,glr-1,ggr-2,ggr-3,,,,,,,,
AVBR,acr-15,glr-5,glr-1,ggr-2,ggr-3,,,,,,,,
AVDL,glr-5,glr-2,glr-1,lgc-35,nmr-1,nmr-2,,,,,,,
AVDR,glr-5,glr-2,glr-1,lgc-35,nmr-1,nmr-2,,,,,,,
AVEL,glr-1,acc-1,glr-2,glr-5,nmr-1,nmr-2,gab-1,,,,,,
AVER,glr-1,acc-1,glr-2,glr-5,nmr-1,nmr-2,gab-1,,,,,,
AVFL,lgc-37,gab-1,,,,,,,,,,,
AVFR,lgc-37,gab-1,,,,,,,,,,,
AVG,deg-3,glr-1,glr-2,nmr-1,nmr-2,acr-15,,,,,,,
AVHL,ggr-1,glr-4,,,,,,,,,,,
AVHR,ggr-1,glr-4,,,,,,,,,,,
AVJL,glr-1,,,,,,,,,,,,
AVJR,glr-1,,,,,,,,,,,,
AVKL,glr-5,,,,,,,,,,,,
AVKR,glr-5,,,,,,,,,,,,
AVL,avr-15,,,,,,,,,,,,
AVM,acr-23,gab-1,lgc-37,,,,,,,,,,
AWAL,,,,,,,,,,,,,
AWAR,,,,,,,,,,,,,
AWBL,,,,,,,,,,,,,
AWBR,,,,,,,,,,,,,
AWCL,,,,,,,,,,,,,
AWCR,,,,,,,,,,,,,
BAGL,,,,,,,,,,,,,
BAGR,,,,,,,,,,,,,
BDUL,glr-8,gab-1,lgc-37,lgc-38,,,,,,,,,
BDUR,glr-8,gab-1,lgc-37,lgc-38,,,,,,,,,
CANL,ggr-2,,,,,,,,,,,,
CANR,ggr-2,,,,,,,,,,,,
CEPDL,lgc-38,ggr-2,,,,,,,,,,,
CEPDR,lgc-38,ggr-2,,,,,,,,,,,
CEPVL,lgc-38,ggr-2,,,,,,,,,,,
CEPVR,lgc-38,ggr-2,,,,,,,,,,,
DA01,unc-63,acr-2,lgc-35,gab-1,lgc-37,acr-14,gar-2,,,,,,
DA02,unc-63,acr-2,lgc-35,gab-1,lgc-37,acr-14,gar-2,,,,,,
DA03,unc-63,acr-2,lgc-35,gab-1,lgc-37,acr-14,gar-2,,,,,,
DA04,unc-63,acr-2,lgc-35,gab-1,lgc-37,acr-14,gar-2,,,,,,
DA05,unc-63,acr-2,lgc-35,gab-1,lgc-37,acr-14,gar-2,,,,,,
DA06,unc-63,acr-2,lgc-35,gab-1,lgc-37,acr-14,gar-2,,,,,,
DA07,unc-63,acr-2,lgc-35,gab-1,lgc-37,acr-14,gar-2,,,,,,
DA08,unc-63,acr-2,glr-5,lgc-35,gab-1,lgc-37,acr-14,,,,,,
DA09,unc-63,acr-15,acr-2,glr-4,lgc-35,gab-1,lgc-37,avr-15,acr-14,,,,
DB01,glr-4,acr-2,acr-16,acr-5,unc-63,lgc-35,gab-1,lgc-37,acr-14,ggr-1,gar-2,,
DB02,glr-4,acr-2,acr-16,acr-5,unc-63,lgc-35,gab-1,lgc-37,acr-14,ggr-1,gar-2,,
DB03,glr-4,acr-2,acr-16,acr-5,unc-63,lgc-35,gab-1,lgc-37,acr-14,ggr-1,gar-2,,
DB04,glr-4,acr-2,acr-16,acr-5,unc-63,lgc-35,gab-1,lgc-37,acr-14,ggr-1,gar-2,,
DB05,glr-4,acr-2,acr-16,acr-5,unc-63,lgc-35,gab-1,lgc-37,acr-14,ggr-1,gar-2,,
DB06,glr-4,acr-2,acr-16,acr-5,unc-63,lgc-35,gab-1,lgc-37,acr-14,ggr-1,gar-2,,
DB07,glr-4,acr-2,acr-16,acr-5,unc-63,lgc-35,gab-1,lgc-37,acr-14,ggr-1,gar-2,,
DD01,lev-8,,acr-14,acr-12,,,,,,,,,
DD02,lev-8,,acr-14,acr-12,,,,,,,,,
DD03,lev-8,,acr-14,acr-12,,,,,,,,,
DD04,lev-8,,acr-14,acr-12,,,,,,,,,
DD05,lev-8,,acr-14,acr-12,,,,,,,,,
DD06,lev-8,,acr-14,acr-12,,,,,,,,,
DVA,acr-15,ggr-2,glr-2,glr-4,glr-5,lgc-35,nmr-1,lgc-38,ggr-3,,,,
DVB,acr-12,,,,,,,,,,,,
DVC,glr-1,acr-2,acr-20,,,,,,,,,,
FLPL,des-2,glr-4,gab-1,lgc-37,deg-3,,,,,,,,
FLPR,des-2,glr-4,gab-1,lgc-37,deg-3,,,,,,,,
HSNL,acr-14,gar-2,ggr-2,glr-5,gab-1,lgc-37,,,,,,,
HSNR,acr-14,gar-2,ggr-2,glr-5,gab-1,lgc-37,,,,,,,
I1L,glr-7,glr-8,avr-15,,,,,,,,,,
I1R,glr-7,glr-8,avr-15,,,,,,,,,,
I2L,glr-7,glr-8,,,,,,,,,,,
I2R,glr-7,glr-8,,,,,,,,,,,
I3,,glr-7,glr-8,,,,,,,,,,
I4,,,,,,,,,,,,,
I5,acr-15,,,,,,,,,,,,
I6,glr-7,glr-8,,,,,,,,,,,
IL1DL,deg-3,acr-2,,,,,,,,,,,
IL1DR,deg-3,acr-2,,,,,,,,,,,
IL1L,deg-3,acr-2,,,,,,,,,,,
IL1R,deg-3,acr-2,,,,,,,,,,,
IL1VL,deg-3,acr-2,,,,,,,,,,,
IL1VR,deg-3,acr-2,,,,,,,,,,,
IL2DL,lgc-38,,,,,,,,,,,,
IL2DR,lgc-38,,,,,,,,,,,,
IL2L,lgc-38,,,,,,,,,,,,
