Glu_exc,Glu_inh,Ach_exc,Ach_inh,GABA_exc,GABA_inh
glr-1,glc-1,acr-1,acc-1,exp-1,gab-1
glr-2,glc-2,acr-2,acc-2,lgc-35,ggr-1
glr-3,glc-3,acr-3,acc-3,,ggr-2
glr-4,glc-4,acr-4,lgc-47,,ggr-3
glr-5,avr-14,acr-5,lgc-48,,lgc-36
glr-6,avr-15,acr-6,lgc-49,,lgc-37
glr-7,,acr-7,,,lgc-38
glr-8,,acr-8,,,unc-49
nmr-1,,acr-9,,,
nmr-2,,acr-10,,,
,,acr-11,,,
,,acr-12,,,
,,acr-13,,,
,,acr-14,,,
,,acr-15,,,
,,acr-16,,,
,,acr-17,,,
,,acr-18,,,
,,acr-19,,,
,,acr-20,,,
,,acr-21,,,
,,acr-23,,,
,,acr-25,,,
,,deg-3,,,
,,des-2,,,
,,lev-8,,,
,,unc-29,,,
,,unc-38,,,
,,unc-63,,,
,,eat-2,,,
