neuronID,mgl-1,mgl-2,mgl-3
ADAL,0,1,0
ADAR,0,1,0
ADEL,1,1,0
ADER,1,1,0
ADFL,1,0,1
ADFR,1,0,1
ADLL,0,0,0
ADLR,0,0,0
AFDL,0,0,1
AFDR,0,0,1
AIAL,1,0,0
AIAR,1,0,0
AIBL,0,1,0
AIBR,0,1,0
AIML,0,1,1
AIMR,0,1,1
AINL,1,1,0
AINR,1,1,0
AIYL,1,1,0
AIYR,1,1,0
AIZL,0,0,1
AIZR,0,0,1
ALA,0,1,0
ALML,0,1,0
ALMR,0,1,0
ALNL,1,1,0
ALNR,1,1,0
AQR,0,1,0
AS01,1,0,0
AS02,0,0,0
AS03,0,0,0
AS04,0,0,0
AS05,0,0,0
AS06,0,0,0
AS07,0,0,0
AS08,0,0,0
AS09,0,0,0
AS10,0,0,0
AS11,0,0,0
ASEL,0,0,1
ASER,0,0,1
ASGL,0,0,0
ASGR,0,0,0
ASHL,0,0,0
ASHR,0,0,0
ASIL,1,1,0
ASIR,1,1,0
ASJL,0,0,0
ASJR,0,0,0
ASKL,0,0,0
ASKR,0,0,0
AUAL,0,0,0
AUAR,0,0,0
AVAL,1,1,0
AVAR,1,1,0
AVBL,0,0,0
AVBR,0,0,0
AVDL,1,1,0
AVDR,1,1,0
AVEL,0,0,0
AVER,0,0,0
AVFL,0,1,0
AVFR,0,1,0
AVG,0,0,0
AVHL,0,1,0
AVHR,0,1,0
AVJL,1,1,0
AVJR,1,1,0
AVKL,0,0,0
AVKR,0,0,0
AVL,0,1,0
AVM,0,0,0
AWAL,1,1,0
AWAR,1,1,0
AWBL,0,0,0
AWBR,0,0,0
AWCL,0,1,0
AWCR,0,1,0
BAGL,1,1,0
BAGR,1,1,0
BDUL,0,0,0
BDUR,0,0,0
CANL,0,0,0
CANR,0,0,0
CEPDL,1,1,0
CEPDR,1,1,0
CEPVL,1,1,0
CEPVR,1,1,0
DA01,0,0,0
DA02,0,0,0
DA03,0,0,0
DA04,0,0,0
DA05,0,0,0
DA06,0,0,0
DA07,0,0,0
DA08,0,0,0
DA09,0,0,0
DB01,0,0,0
DB02,0,0,0
DB03,0,0,0
DB04,0,0,0
DB05,0,0,0
DB06,0,0,0
DB07,0,0,0
DD01,0,0,0
DD02,0,0,0
DD03,0,0,0
DD04,0,0,0
DD05,0,0,0
DD06,0,0,0
DVA,0,0,0
DVB,0,0,0
DVC,0,0,0
FLPL,0,0,0
FLPR,0,0,0
HSNL,0,0,0
HSNR,0,0,0
I1L,1,1,0
I1R,1,1,0
I2L,0,0,0
I2R,0,0,0
I3,0,0,0
I4,0,0,0
I5,0,0,0
I6,0,0,0
IL1DL,1,1,0
IL1DR,1,1,0
IL1L,1,0,0
IL1R,1,0,0
IL1VL,1,1,0
IL1VR,1,1,0
IL2DL,1,1,0
IL2DR,1,1,0
IL2L,1,1,0
IL2R,1,1,0
IL2VL,1,1,0
IL2VR,1,1,0
LUAL,0,0,0
LUAR,0,0,0
M1,1,0,0
M2L,1,0,0
M2R,1,0,0
M3L,0,0,0
M3R,0,0,0
M4,1,0,0
M5,0,0,0
MCL,1,0,0
MCR,1,0,0
MI,1,0,0
NSML,0,0,0
NSMR,0,0,0
OLLL,1,1,0
OLLR,1,1,0
OLQDL,0,0,0
OLQDR,0,0,0
OLQVL,0,0,0
OLQVR,0,0,0
PDA,0,0,0
PDB,0,0,0
PDEL,0,0,0
PDER,0,0,0
PHAL,1,1,0
PHAR,1,1,0
PHBL,0,0,0
PHBR,0,0,0
PHCL,0,0,0
PHCR,0,0,0
PLML,1,1,0
PLMR,1,1,0
PLNL,0,0,0
PLNR,0,0,0
PQR,0,0,0
PVCL,1,1,0
PVCR,1,1,0
PVDL,0,1,0
PVDR,0,1,0
PVM,0,0,0
PVNL,0,0,0
PVNR,0,0,0
PVPL,0,0,0
PVPR,0,0,0
PVQL,0,0,0
PVQR,0,0,0
PVR,0,0,0
PVT,0,0,0
PVWL,0,0,0
PVWR,0,0,0
RIAL,1,1,0
RIAR,1,1,0
RIBL,1,1,0
RIBR,1,1,0
RICL,1,1,0
RICR,1,1,0
RID,0,0,0
RIFL,0,0,0
RIFR,0,0,0
RIGL,0,0,0
RIGR,0,0,0
RIH,0,0,0
RIML,0,0,0
RIMR,0,0,0
RIPL,0,0,0
RIPR,0,0,0
RIR,0,0,0
RIS,0,0,0
RIVL,0,0,0
RIVR,0,0,0
RMDDL,1,1,0
RMDDR,1,1,0
RMDL,1,1,0
RMDR,1,1,0
RMDVL,1,1,0
RMDVR,1,1,0
RMED,0,0,0
RMEL,0,0,0
RMER,0,0,0
RMEV,0,0,0
RMFL,1,1,0
RMFR,1,1,0
RMGL,1,1,0
RMGR,1,1,0
RMHL,1,1,0
RMHR,1,1,0
SAADL,0,1,0
SAADR,0,1,0
SAAVL,0,1,0
SAAVR,0,1,0
SABD,0,0,0
SABVL,0,0,0
SABVR,0,0,0
SDQL,0,0,0
SDQR,0,0,0
SIADL,0,0,0
SIADR,0,0,0
SIAVL,0,0,0
SIAVR,0,0,0
SIBDL,0,1,0
SIBDR,0,1,0
SIBVL,0,1,0
SIBVR,0,1,0
SMBDL,0,1,0
SMBDR,0,1,0
SMBVL,0,1,0
SMBVR,0,1,0
SMDDL,1,1,0
SMDDR,1,1,0
SMDVL,1,1,0
