receptor,ligand,EC50,Self loops,Network Connections,Unnamed: 5,Network Topology,Unnamed: 7,Neuropeptide family,GPCR type,GPCR class,Behavioural data,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,Mid-Range,Short-Range,Mid-Range,Short-Range,,,,,,,
AEX-2,NLP-40,8.322e-09,1.0,75,183,local,local,NLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
CKR-1,NLP-12,1.905e-09,0.0,9,147,broadcaster,local,NLP,No Promiscuous,A                                                          (rhodopsin like),A                                                          (rhodopsin like),,,
CKR-2,NLP-12,1.017e-08,0.0,6,144,local,local,NLP,No Promiscuous,A                                                          (rhodopsin like),https://academic.oup.com/endo/article/149/6/2826/2454989,,EC50 data from,Beets et al. 2022
DMSR-1,FLP-10,4.025e-07,5.0,206,482,broadcaster,broadcaster,FLP,Promiscuous,A                 (rhodopsin like),,,GPCR class from,Froonickx et al. 2021
DMSR-1,FLP-11,3.153e-12,28.0,765,2520,pervasive,pervasive,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,Neuropeptide families from,Li & Kim 2018
DMSR-1,FLP-12,1.606e-07,6.0,536,967,broadcaster,broadcaster,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-1,FLP-13,5.329e-15,7.0,627,460,broadcaster,broadcaster,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-1,FLP-16,1.651e-07,25.0,1012,3961,pervasive,pervasive,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-1,FLP-17,8.804e-08,0.0,26,86,broadcaster,local,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-1,FLP-25,4.068e-13,3.0,163,748,broadcaster,broadcaster,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-1,FLP-28,4.957e-07,6.0,391,1065,broadcaster,broadcaster,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-1,FLP-33,4.647e-07,0.0,48,162,broadcaster,broadcaster,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-1,FLP-4,1.785e-07,12.0,741,1535,broadcaster,broadcaster,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-1,FLP-9,1.231e-07,42.0,2172,6471,pervasive,pervasive,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-2,NLP-13,2.472e-09,7.0,955,2691,pervasive,pervasive,NLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-3,FLP-14,3.258e-08,3.0,147,361,local,local,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-5,FLP-1,5.259e-09,0.0,42,466,broadcaster,broadcaster,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-6,FLP-1,1.425e-08,0.0,12,68,local,local,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-7,FLP-1,1.42e-11,2.0,0,204,broadcaster,broadcaster,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-7,FLP-11,3.415e-07,41.0,590,3892,pervasive,pervasive,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-7,FLP-13,5.375e-08,1.0,798,506,broadcaster,broadcaster,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-7,FLP-16,1.983e-07,28.0,801,5403,pervasive,pervasive,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-7,FLP-23,6.301e-09,2.0,2,202,broadcaster,broadcaster,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-7,FLP-27,3.978e-07,9.0,571,2365,broadcaster,broadcaster,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-7,FLP-4,1.81e-08,5.0,810,2050,broadcaster,broadcaster,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-7,FLP-5,4.91e-08,16.0,2043,4719,pervasive,pervasive,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-7,FLP-7,2.111e-07,11.0,444,2492,broadcaster,broadcaster,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-7,FLP-9,9.394e-08,50.0,1982,9230,pervasive,pervasive,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
DMSR-8,FLP-12,2.526e-08,9.0,276,568,local,local,FLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
EGL-6,FLP-10,2.03e-09,2.0,24,114,local,local,FLP,No Promiscuous,A                 (rhodopsin like),https://www.nature.com/articles/nn.2186,,,
EGL-6,FLP-17,3.64e-09,0.0,0,30,local,local,FLP,No Promiscuous,A                 (rhodopsin like),https://www.nature.com/articles/nn.2186,,,
EGL-6,FLP-4,4.6e-07,2.0,121,403,local,local,FLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
EGL-6,FLP-5,2.69e-07,4.0,229,1016,integrative,integrative,FLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
EGL-6,FLP-6,4.58e-07,2.0,43,397,local,local,FLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
EGL-6,FLP-9,6.54e-08,10.0,198,1509,integrative,integrative,FLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-15,FLP-8,1.995e-08,0.0,33,177,broadcaster,local,FLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-16,FLP-3,7.479e-09,0.0,172,679,broadcaster,broadcaster,FLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-18,FLP-2,6.973e-09,6.0,252,782,local,local,FLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-19,FLP-14,4.242e-08,6.0,224,1055,broadcaster,broadcaster,FLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-19,FLP-8,8.859e-08,1.0,24,136,broadcaster,broadcaster,FLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-3,FLP-20,8.816e-10,1.0,12,258,local,local,FLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-6,FLP-33,1.012e-07,0.0,4,44,local,local,FLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-7,FLP-1,7.253e-09,0.0,16,104,broadcaster,broadcaster,FLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-8,FLP-10,4.38e-07,1.0,39,91,local,local,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-8,FLP-11,6.222e-08,3.0,83,490,integrative,integrative,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-8,FLP-12,2.562e-08,0.0,83,176,local,local,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-8,FLP-13,2.813e-08,1.0,106,87,local,local,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-8,FLP-14,2.475e-07,7.0,76,269,local,local,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-8,FLP-16,1.949e-07,8.0,170,717,integrative,integrative,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-8,FLP-17,2.818e-08,0.0,4,16,local,local,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-8,FLP-25,7.212e-13,3.0,32,147,local,local,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-8,FLP-32,1.692e-07,0.0,118,426,integrative,integrative,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-8,FLP-4,4.361e-08,5.0,122,302,local,local,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-8,FLP-8,8.385e-08,3.0,8,41,local,local,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-8,FLP-9,1.501e-09,5.0,296,1217,integrative,integrative,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
FRPR-9,FLP-19,3.701e-08,7.0,88,1133,local,local,FLP,Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
GNRR-1,NLP-47,6.22e-08,2.0,558,857,integrative,integrative,NLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
GNRR-3,NLP-23,1.576e-07,0.0,0,22,local,local,NLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
GNRR-6,NLP-2,2.002e-08,0.0,0,30,local,local,NLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
GNRR-6,NLP-22,4.814e-09,0.0,2,102,local,local,NLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
GNRR-6,NLP-23,9.804e-08,0.0,0,30,local,local,NLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
NMUR-1,NLP-44,3.62e-09,2.0,6,68,local,local,NLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
NMUR-2,NLP-44,6.355e-11,0.0,0,50,local,local,NLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
NPR-1,FLP-21,5.077e-09,4.0,117,294,local,local,FLP,No Promiscuous,A                 (rhodopsin like),https://pubmed.ncbi.nlm.nih.gov/15220933/,,,
NPR-10,FLP-3,9.673e-08,0.0,113,256,local,local,FLP,No Promiscuous,A                 (rhodopsin like),A                 (rhodopsin like),,,
NPR-11,FLP-34,1.317e-08,0.0,147,427,local,local,FLP,No Promiscuous,A                 (rhodopsin like),https://pubmed.ncbi.nlm.nih.gov/20364145/,,,
NPR-2,FLP-21,3.721e-08,9.0,436,785,broadcaster,broadcaster,FLP,No Promiscuous,A                 (rhodopsin like),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4792932/,,,
