rownames,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92
I1L,,,,,,,FLP-13 DMSR-1,FLP-16 DMSR-1,,,FLP-28 DMSR-1,,FLP-4 DMSR-1,FLP-9 DMSR-1,NLP-13 DMSR-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLP-13 FRPR-8,,FLP-16 FRPR-8,,,FLP-32 FRPR-8,FLP-4 FRPR-8,,FLP-9 FRPR-8,,,,,,,,,,,,FLP-21 NPR-2,NLP-72 NPR-22,FLP-15 NPR-3,,,,,,,,,,,,,,,,,,,,,,,
I1R,,,,,,,FLP-13 DMSR-1,FLP-16 DMSR-1,,,FLP-28 DMSR-1,,FLP-4 DMSR-1,FLP-9 DMSR-1,NLP-13 DMSR-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLP-13 FRPR-8,,FLP-16 FRPR-8,,,FLP-32 FRPR-8,FLP-4 FRPR-8,,FLP-9 FRPR-8,,,,,,,,,,,,FLP-21 NPR-2,NLP-72 NPR-22,FLP-15 NPR-3,,,,,,,,,,,,,,,,,,,,,,,
I2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLP-72 NPR-22,FLP-15 NPR-3,,,,,,,,,,,,,,,,,,,,,,,
I2R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLP-72 NPR-22,FLP-15 NPR-3,,,,,,,,,,,,,,,,,,,,,,,
I3,,,,,,,FLP-13 DMSR-1,FLP-16 DMSR-1,,,FLP-28 DMSR-1,,FLP-4 DMSR-1,FLP-9 DMSR-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLP-13 FRPR-8,,,,,,,,,,,,,,,,,,,,,,FLP-15 NPR-3,,,,,,,,,,,,NLP-17 NPR-43,,,,,,,,,,,NLP-54 TRHR-1
I4,,,,,,,FLP-13 DMSR-1,FLP-16 DMSR-1,,,FLP-28 DMSR-1,,FLP-4 DMSR-1,FLP-9 DMSR-1,NLP-13 DMSR-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLP-13 FRPR-8,,FLP-16 FRPR-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLP-54 TRHR-1
I5,,,,,,,FLP-13 DMSR-1,FLP-16 DMSR-1,,,FLP-28 DMSR-1,,FLP-4 DMSR-1,FLP-9 DMSR-1,,,,,,,,,,,,,,,,,,,,,,,,FLP-2 FRPR-18,,,,,,,,,FLP-13 FRPR-8,,,,,FLP-32 FRPR-8,FLP-4 FRPR-8,,,,,,,,,,,,,,FLP-21 NPR-2,,,,,,,,,,,,,,NLP-17 NPR-43,,,,,,,,,,,NLP-54 TRHR-1
I6,,,,,,,FLP-13 DMSR-1,,,,,,FLP-4 DMSR-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLP-13 FRPR-8,,,,,FLP-32 FRPR-8,FLP-4 FRPR-8,,,,,,,,,,,,,,,NLP-72 NPR-22,,,,,,,,,,,,,,,,,,,,,,,,
M1,,,,,,,FLP-13 DMSR-1,FLP-16 DMSR-1,,,FLP-28 DMSR-1,,FLP-4 DMSR-1,FLP-9 DMSR-1,NLP-13 DMSR-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLP-47 GNRR-1,,,,,,,,,,,NLP-72 NPR-22,FLP-15 NPR-3,,,,,,,,,,,,,,,,,,,,,,,NLP-54 TRHR-1
M2L,,,,,,,FLP-13 DMSR-1,,,,,,,,NLP-13 DMSR-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLP-13 FRPR-8,,,,,,,,,,,,,,,,,,,,FLP-21 NPR-2,NLP-72 NPR-22,,,,,,,,,,,,,,,,,,,,,,,,NLP-54 TRHR-1
