neuronID,neuronClass,figNeuronClass,synonym,cellType,sensoryType,sensoryType:chemical,sensoryType:odor,sensoryType:pheromone,sensoryType:osmolarity,sensoryType:oxygen,sensoryType:carbon_dioxide,sensoryType:photon,sensoryType:thermal,sensoryType:electrical,sensoryType:mechanical,sensoryType:stretch,sensoryType:nociceptive,cellType:pharynx,cellType:sensory,cellType:interneuron,cellType:motor,cellType:unknown,segment,segment:head,segment:midbody,segment:tail,process:nerve_ring,process:ventral_retrovesicular_ganglion,process:ventral_cord,process:dorsal_cord,process:tail_preanal_ganglion,process:amphid_commissure_left,process:amphid_commissure_right,process:pharynx,process:labial_sensory_right,process:labial_sensory_left,process:anterior_to_nerve_ring,process:tail_tip,process:labial_sensory_dorsal_right,process:labial_sensory_dorsal_left,process:labial_sensory_ventral_right,process:labial_sensory_ventral_left,process:deirid_commissure_right,process:dorsal_sublateral_right,process:dorsal_sublateral_left,process:deirid_commissure_left,process:ventral_sublateral_left,process:ventral_sublateral_right,process:canal_associated_tail,process:canal_associated_right,process:canal_associated_left,process:anterior_subventral_cord_right,process:anterior_subventral_cord_left,process:anterior_subdorsal_cord_right,process:anterior_subdorsal_cord_left
I1L,I1,I1,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1R,I1,I1,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2L,I2,I2,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2R,I2,I2,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3,I3,I3,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4,I4,I4,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I5,I5,I5,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I6,I6,I6,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1,M1,M1,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2L,M2,M2,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2R,M2,M2,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3L,M3,M3,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3R,M3,M3,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M4,M4,M4,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M5,M5,M5,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCL,MC,MC,,Pharynx,none,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Head,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
