neuronID,GABA,Serotonin,Dopamine
CEMDL,0,1,0
CEMDR,0,1,0
CEMVL,0,1,0
CEMVR,0,1,0
MCML,0,0,0
MCMR,0,0,0
CA01,0,0,0
CA02,0,0,0
CA03,0,0,0
CA04,0,0,0
CA05,0,0,0
CA06,0,0,0
CA07,0,0,0
CA08,0,0,0
CA09,0,0,0
CP00,0,0,0
CP01,0,1,0
CP02,0,1,0
CP03,0,1,0
CP04,0,1,0
CP05,0,1,0
CP06,0,1,0
CP07,0,0,0
CP08,0,0,0
CP09,1,0,0
DVE,0,0,0
DVF,0,0,0
DX01,0,0,0
DX02,0,0,0
EF01,1,0,0
EF02,1,0,0
HOA,0,0,0
HOB,0,0,0
PDC,0,0,0
PGA,0,1,0
PVV,0,0,0
PVY,0,0,0
PVX,0,0,0
PVZ,0,0,0
DX03,0,0,0
DX04,0,0,0
EF03,1,0,0
EF04,1,0,0
R1AL,0,0,0
R1AR,0,0,0
R2AL,1,0,0
R2AR,1,0,0
R3AL,0,0,0
R3AR,0,0,0
R4AL,0,0,0
R4AR,0,0,0
R5AL,0,0,1
R5AR,0,0,1
R6AL,1,0,0
R6AR,1,0,0
R7AL,0,0,1
R7AR,0,0,1
R8AL,0,0,0
R8AR,0,0,0
R9AL,0,0,1
R9AR,0,0,1
R1BL,0,1,0
R1BR,0,1,0
R2BL,0,0,0
R2BR,0,0,0
R3BL,0,1,0
R3BR,0,1,0
R4BL,0,0,0
R4BR,0,0,0
R5BL,0,0,0
R5BR,0,0,0
R6BL,0,0,0
R6BR,0,0,0
R7BL,0,0,0
R7BR,0,0,0
R8BL,0,0,0
R8BR,0,0,0
R9BL,1,1,0
R9BR,1,1,0
PHDL,0,0,0
PHDR,0,0,0
PCAL,0,0,0
PCAR,0,0,0
PCBL,0,0,0
PCBR,0,0,0
PCCL,0,0,0
PCCR,0,0,0
SPCL,0,0,0
SPCR,0,0,0
SPDL,0,0,0
SPDR,0,0,0
SPVL,0,0,0
SPVR,0,0,0
